medcodeid,cvd_term
6360421000006114,recurrent angina after coronary stent placement
6360441000006119,recurrent angina after coronary artery bypass graft
6546111000006118,acs - acute coronary syndrome
6546751000006118,first myocardial infarction
6601131000006115,ct - coronary thrombosis
6632221000006112,peripheral arterial occlusive disease
6632271000006113,peripheral artery occlusive disease
6651221000006117,stemi - st elevation myocardial infarction
6651391000006114,nstemi - non-st segment elevation mi
6837051000006119,basal ganglion stroke
6837061000006117,basal ganglion infarct
6841231000006113,acute ischaemic heart disease
6847761000006118,chronic ischemic heart disease
6860251000006115,ischemic heart disease
6860261000006118,ihd - ischemic heart disease
6908391000006111,stroke/transient ischaemic attack monitoring invitation
6990981000006114,ischaemic stroke
6990991000006112,ischemic stroke
7093091000006111,recent myocardial infarction
7105241000006116,typical angina
7108391000006114,ischaemic ulcer of toe
7140321000006119,history of peripheral arterial occlusive disease
7224311000006117,endovascular repair of aneurysm of iliac artery
7475751000006117,ischaemic dilated cardiomyopathy due to coronary artery disease
7510331000006117,history of non-st segment elevation myocardial infarction
7518321000006118,coronary artery disease absent
7519441000006112,cerebrovascular accident annual review
7571581000006113,acute anterior st segment elevation myocardial infarction
7571601000006115,acute stemi (st elevation myocardial infarction) of anterior wall
7572221000006117,subsequent st segment elevation myocardial infarction of inferior wall
7572301000006119,acute myocardial infarction during procedure
7572321000006112,acute st segment elevation myocardial infarction of inferior wall
7572331000006110,acute stemi (st elevation myocardial infarction) of inferior wall
7572341000006117,acute inferior st segment elevation myocardial infarction
7573181000006118,heart failure with reduced ejection fraction due to coronary artery disease
7574041000006111,mitral valve regurgitation due to acute myocardial infarction
7574481000006111,subsequent non-st segment elevation myocardial infarction
7574491000006114,subsequent nstemi (non-st segment elevation myocardial infarction)
7598981000006119,cerebral infarction due to embolism of middle cerebral artery
7599001000006116,cerebral infarction due to thrombosis of middle cerebral artery
7662871000006115,inducible ischaemia manifest on stress test post myocardial infarction
7703511000006110,subacute ischaemic heart disease
7703601000006113,post stroke pain
7839991000006115,silent cerebral infarct
7855631000006111,cerebral ischaemic stroke due to small artery occlusion
7861341000006115,epilepsy due to stroke
7966931000006114,angina associated with type 2 diabetes mellitus
8011371000006117,sequela of ischaemic cerebral infarction
8044221000006116,ischaemic foot ulcer due to type 2 diabetes mellitus
8044481000006118,ischaemic stroke without coma
8079871000006116,coronary heart disease monitoring telephone invitation
8087551000006113,history of acute st segment elevation myocardial infarction
8087751000006116,acute st segment elevation myocardial infarction involving left anterior descending coronary artery
8195431000006118,stroke/cerebrovascular accident 6 month review
8196661000006116,transient ischaemic attack monthly review
8221321000006118,stroke and tia
8231151000006110,personal history of transient ischaemic attack
8274811000006116,stroke medicine
8298661000006115,peripheral vascular disease monitoring verbal invitation
8298671000006110,peripheral vascular disease monitoring telephone invitation
8304051000006113,arterial leg ulcer
8453031000006117,haemorrhagic stroke
8459551000006115,coronary heart disease monitoring invitation
8459561000006118,coronary heart disease monitoring invitation email
9836881000006114,aneurysm of right common iliac artery
9836901000006111,aneurysm of left common iliac artery
9836931000006115,aneurysm of left internal iliac artery
9836971000006117,aneurysm of left popliteal artery
9843961000006118,acute st segment elevation myocardial infarction of anterolateral wall
9843981000006111,acute st segment elevation myocardial infarction of lateral wall
9844011000006119,acute st segment elevation myocardial infarction of posterior wall
9844051000006118,acute st segment elevation myocardial infarction due to right coronary artery occlusion
9868461000006110,unstable angina co-occurrent and due to coronary arteriosclerosis
9868571000006116,mural thrombus of left ventricle following acute myocardial infarction
9874011000006115,gangrene of toe of right foot
9912271000006112,cerebellar stroke
12120191000006118,revision of bypass of femoral artery with anastomosis of femoral artery to femoral artery using prosthesis
12122331000006116,acute st segment elevation myocardial infarction of inferolateral wall
12122341000006114,acute st segment elevation myocardial infarction of inferoposterior wall
12125951000006116,arteriosclerosis of autologous vein coronary artery bypass graft with angina
12126541000006118,bilateral gangrene of toe
12223101000006118,intracerebral haemorrhage
12223111000006115,intracerebral hemorrhage
12223121000006111,ich - intracerebral haemorrhage
12223131000006114,ich - intracerebral hemorrhage
12276271000006112,progressive angina
13717171000006112,cerebrovascular accident due to stenosis of bilateral carotid arteries
13718621000006117,history of cerebrovascular accident due to ischaemia
13909901000006119,cerebral ischaemic stroke co-occurrent with subarachnoid haemorrhage
13930031000006112,delayed postmyocardial infarction pericarditis
13935161000006114,acute myocardial infarction of right ventricle
13935211000006117,acute myocardial infarction of inferolateral wall with posterior extension
13941091000006115,acute st segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion
13941141000006111,acute st segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion
13941161000006110,acute stemi (st elevation myocardial infarction) due to mid lad (left anterior descending) coronary artery occlusion
13941211000006118,acute st segment elevation myocardial infarction due to distal left anterior descending coronary artery occlusion
13941231000006112,acute stemi (st elevation myocardial infarction) due to distal lad (left anterior descending) coronary artery occlusion
13944841000006117,peripheral arterial disease
13944851000006115,peripheral arterial vascular disease
13945211000006116,acute st segment elevation myocardial infarction due to occlusion of anterior descending branch of left coronary artery
13947721000006111,acute st segment elevation myocardial infarction due to occlusion of intermediate artery
13961371000006114,acute st segment elevation myocardial infarction due to occlusion of mid portion of right coronary artery
13961451000006111,acute stemi (st elevation myocardial infarction) due to pda (posterior descending artery) branch of rca (right coronary artery) occlusion
13961461000006113,acute st segment elevation myocardial infarction due to occlusion of posterior lateral branch of right coronary artery
14014251000006116,cerebrovascular accident due to occlusion of bilateral pontine arteries
14015031000006119,myocardial infarction due to demand ischaemia
14015311000006110,coronary artery disease due to type 2 diabetes mellitus
14068071000006114,history of transient ischaemic attack
14132941000006118,myocardial infarction with non-obstructive coronary artery
14182621000006113,cryptogenic stroke
14194651000006114,acute stroke of brainstem
