medcodeid,dm_term,dm_type
6981621000006113,Persistent proteinuria associated with type II diabetes mellitus,NOS
6982151000006118,Disorder due to type II diabetes mellitus,NOS
6982511000006110,Diabetic retinopathy associated with type II diabetes mellitus,NOS
6982521000006119,Diabetes type 2 with retinopathy,NOS
6983511000006117,Neurologic complication of diabetes mellitus,NOS
6983521000006113,Diabetic neurologic disease,NOS
6983691000006114,Diabetic oculopathy associated with type II diabetes mellitus,NOS
6985001000006110,Peripheral circulatory disorder associated with type 2 diabetes mellitus,NOS
6985011000006113,Peripheral circulatory disorder associated with type II diabetes mellitus,NOS
6985411000006117,Diabetic skin ulcer,NOS
6985421000006113,Skin ulcer associated with diabetes mellitus,NOS
6986151000006117,Multiple complications of type I diabetes mellitus,NOS
6987011000006115,Gangrene associated with diabetes mellitus,NOS
7065531000006115,Latent autoimmune diabetes mellitus in adult (LADA),NOS
7119901000006114,Adverse reaction caused by antidiabetic drug,NOS
7253221000006117,Hyperglycemic crisis in diabetes mellitus,NOS
7281511000006118,Type 2 diabetes mellitus uncontrolled,NOS
7287611000006113,Type 1 diabetes mellitus uncontrolled,NOS
7287621000006117,Type I diabetes mellitus uncontrolled,NOS
7500211000006117,Pre-existing diabetes mellitus in pregnancy,NOS
7644681000006117,Gingivitis co-occurrent with diabetes mellitus,NOS
7708051000006112,Gastroparesis due to diabetes mellitus type I,NOS
7708071000006119,Gastroparesis due to diabetes mellitus type II,NOS
7708091000006118,Polyneuropathy due to type 1 diabetes mellitus,NOS
7708121000006119,Polyneuropathy due to diabetes mellitus type II,NOS
7741101000006113,Diabetic embryopathy,NOS
7746161000006117,Gingival disease co-occurrent with diabetes mellitus,NOS
7783451000006114,Hypoglycaemic coma co-occurrent and due to diabetes mellitus type II,NOS
7793311000006119,Provision of written information about diabetes and high hemoglobin A1c level,NOS
7804601000006113,Not suitable for Diabetes Education and Self Management for Ongoing and Newly Diagnosed program,NOS
7804611000006111,Not suitable for Diabetes Education and Self Management for Ongoing and Newly Diagnosed programme,NOS
7804621000006115,Not suitable for DESMOND (Diabetes Education and Self Management for Ongoing and Newly Diagnosed) program,NOS
7851731000006116,Diabetic mastopathy,NOS
7861571000006116,Radiculoplexoneuropathy due to diabetes mellitus,NOS
7861581000006118,Diabetic radiculoplexus neuropathy,NOS
7863801000006113,Lumbosacral plexopathy co-occurrent and due to diabetes mellitus,NOS
7863811000006111,Lumbosacral plexopathy with diabetes mellitus,NOS
7966931000006114,Angina associated with type 2 diabetes mellitus,NOS
7966941000006116,Angina associated with type II diabetes mellitus,NOS
7966951000006119,Diabetic angina pectoris associated with type 2 diabetes mellitus,NOS
8012881000006119,Good compliance with diabetic diet,NOS
8012901000006117,Poor compliance with diabetic diet,NOS
8014491000006111,Peripheral vascular disease due to type I diabetes,NOS
8022441000006118,Neuropathic arthropathy due to type 1 diabetes mellitus,NOS
8022461000006119,Diabetic neuropathic arthropathy due to type 1 diabetes mellitus,NOS
8022471000006114,Diabetes mellitus type 1 with diabetic Charcot's arthropathy,NOS
8033301000006115,Pre-existing diabetes mellitus in childbirth,NOS
8059261000006114,Diabetes monitoring lower risk albumin excretion,NOS
8059281000006116,Diabetes monitoring higher risk albumin excretion,NOS
8082941000006118,Attended DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme,NOS
8082951000006116,Attended diabetes education and self management for ongoing and newly diagnosed structured programme,NOS
8084961000006111,Diabetes type II review,NOS
8098221000006116,Attended expert patient education versus routine treatment diabetes structured education programme,NOS
8098241000006111,Attended XPERT (expert patient education versus routine treatment) diabetes structured education programme,NOS
8098261000006110,Attended dose adjustment for normal eating diabetes structured education programme,NOS
8098281000006117,Attended DAFNE (dose adjustment for normal eating) diabetes structured education programme,NOS
8098291000006119,Dose adjustment for normal eating diabetes structured education programme completed,NOS
8098311000006115,DAFNE (dose adjustment for normal eating) diabetes structured education programme completed,NOS
8098321000006111,Diabetes education and self management for ongoing and newly diagnosed structured programme completed,NOS
8098341000006116,DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme completed,NOS
8098351000006119,Expert patient education versus routine treatment diabetes structured education programme completed,NOS
8098371000006112,XPERT (expert patient education versus routine treatment) diabetes structured education programme completed,NOS
8098861000006114,Referral to dose adjustment for normal eating diabetes structured education programme,NOS
8098881000006116,Referral to DAFNE (dose adjustment for normal eating) diabetes structured education programme,NOS
8098931000006110,Referral to diabetes education and self management for ongoing and newly diagnosed diabetes structured programme,NOS
8098951000006115,Referral to DESMOND (diabetes education and self management for ongoing and newly diagnosed) diabetes structured programme,NOS
8098961000006118,Referral to expert patient education versus routine treatment diabetes structured education programme,NOS
8098981000006111,Referral to XPERT (expert patient education versus routine treatment) diabetes structured education programme,NOS
8099131000006117,Did not complete dose adjustment for normal eating diabetes structured education programme,NOS
8099151000006112,Did not complete DAFNE (dose adjustment for normal eating) diabetes structured education programme,NOS
8099161000006114,Did not complete diabetes education and self management for ongoing and newly diagnosed structured programme,NOS
8099181000006116,Did not complete DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme,NOS
8099221000006113,Did not complete expert patient education versus routine treatment diabetes structured education programme,NOS
8099281000006112,Did not attend dose adjustment for normal eating diabetes structured education programme,NOS
8099301000006111,Did not attend DAFNE (dose adjustment for normal eating) diabetes structured education programme,NOS
8099311000006114,Did not attend diabetes education and self management for ongoing and newly diagnosed structured programme,NOS
8099331000006115,Did not attend DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme,NOS
8099341000006113,Did not attend expert patient education versus routine treatment diabetes structured education programme,NOS
8099361000006112,Did not attend XPERT (expert patient education versus routine treatment) diabetes structured education programme,NOS
8118151000006112,Hyperosmolarity co-occurrent and due to drug induced diabetes mellitus,NOS
8236711000006119,DNA (did not attend) diabetes foot screening,NOS
8243411000006117,Referral to DESMOND (diabetes education and self management for ongoing and newly diagnosed) structured programme declined,NOS
8297051000006113,Referral to DAFNE (dose adjustment for normal eating) diabetes structured education programme declined,NOS
8323631000006117,Diabetes Distress Scale 2 item score,NOS
8323641000006110,DDS2 (Diabetes Distress Scale 2) score,NOS
8324991000006112,Diabetes Distress Scale 17 item score,NOS
8325001000006117,DDS17 (Diabetes Distress Scale 17) score,NOS
8343301000006117,DPNP - diabetic peripheral neuropathic pain,NOS
8362271000006115,FootSkin Scale for Diabetic Neuropathy,NOS
8413691000006118,X-PERT (expert patient education versus routine treatment) First Steps diabetes self-management programme completed,NOS
9324881000006117,Diabetes mellitus in childbirth,NOS
11633211000006112,Atypical diabetes mellitus,NOS
11633221000006116,ADM - atypical diabetes mellitus,NOS
11926761000006112,Hemoglobin A1c less than 7% indicating good diabetic control,NOS
11927551000006115,Insulin dependent diabetes mellitus with ulcer,NOS
11927561000006118,Hypoglycemic coma co-occurrent and due to diabetes mellitus type II,NOS
11931861000006112,Pre-existing type 2 diabetes mellitus in pregnancy,NOS
12010081000006119,Provision of patient held diabetes record declined,NOS
12027161000006117,Diabetes Treatment Satisfaction Questionnaire status version score,NOS
12085891000006118,Clinically significant macular oedema of right eye co-occurrent and due to diabetes mellitus,NOS
12085901000006119,Clinically significant macular edema of right eye due to diabetes mellitus,NOS
12085911000006116,Clinically significant macular edema of right eye co-occurrent and due to diabetes mellitus,NOS
12085921000006112,Clinically significant macular oedema of left eye due to diabetes mellitus,NOS
12085931000006110,Clinically significant macular oedema of left eye co-occurrent and due to diabetes mellitus,NOS
12085941000006117,Clinically significant macular edema of left eye co-occurrent and due to diabetes mellitus,NOS
12085951000006115,Clinically significant macular edema of left eye due to diabetes mellitus,NOS
12086281000006113,Diabetic maculopathy of right eye,NOS
12086291000006111,Maculopathy of right eye due to diabetes mellitus,NOS
12086301000006112,Disorder of right macula co-occurrent and due to diabetes mellitus,NOS
12086321000006119,Maculopathy of left eye due to diabetes mellitus,NOS
12086331000006116,Diabetic maculopathy of left eye,NOS
12086341000006114,Disorder of left macula co-occurrent and due to diabetes mellitus,NOS
12121371000006111,Diabetes structured education programme offered,NOS
12121381000006114,Diabetic retinopathy screening offered,NOS
12166101000006119,Retinopathy co-occurrent and due to diabetes mellitus,NOS
12166111000006116,Retinopathy due to diabetes mellitus,NOS
12174801000006114,Eye disorder due to diabetes mellitus,NOS
12174811000006112,Disorder of eye co-occurrent and due to diabetes mellitus,NOS
12180761000006118,DLRPN - diabetic lumbosacral radiculoplexus neuropathy,NOS
12180771000006113,Lumbosacral radiculoplexus neuropathy with diabetes mellitus,NOS
12180781000006111,Lumbosacral radiculoplexus neuropathy co-occurrent and due to diabetes mellitus,NOS
12180791000006114,Diabetic lumbosacral plexopathy,NOS
12183221000006110,Cataract co-occurrent and due to diabetes mellitus,NOS
12183231000006113,Cataract due to diabetes mellitus,NOS
12185421000006113,Polyneuropathy due to diabetes mellitus,NOS
12185431000006111,Polyneuropathy co-occurrent and due to diabetes mellitus,NOS
12186011000006117,Autonomic neuropathy with diabetes mellitus,NOS
12186021000006113,Autonomic neuropathy co-occurrent and due to diabetes mellitus,NOS
12189881000006112,Proliferative retinopathy with diabetes mellitus,NOS
12189891000006110,PDR - proliferative diabetic retinopathy,NOS
12189901000006114,Proliferative retinopathy co-occurrent and due to diabetes mellitus,NOS
12218501000006114,Disorder of kidney co-occurrent and due to diabetes mellitus,NOS
12218511000006112,Kidney disorder due to diabetes mellitus,NOS
12220641000006117,Mononeuritis multiplex co-occurrent and due to diabetes mellitus,NOS
12220651000006115,Mononeuritis multiplex with diabetes mellitus,NOS
12220661000006118,Asymptomatic neuropathy co-occurrent and due to diabetes mellitus,NOS
12220671000006113,Asymptomatic neuropathy with diabetes mellitus,NOS
12220681000006111,Preproliferative retinopathy co-occurrent and due to diabetes mellitus,NOS
12220691000006114,Advanced maculopathy co-occurrent and due to diabetes mellitus,NOS
12220701000006114,Advanced maculopathy with diabetes mellitus,NOS
12220711000006112,Iritis co-occurrent and due to diabetes mellitus,NOS
12220721000006116,Iritis due to diabetes mellitus,NOS
12221111000006119,Neuropathy co-occurrent and due to diabetes mellitus,NOS
12221151000006118,Mononeuropathy co-occurrent and due to diabetes mellitus,NOS
12221241000006112,Disorder of macula co-occurrent and due to diabetes mellitus,NOS
12221251000006114,Maculopathy due to diabetes mellitus,NOS
12221261000006111,Maculopathy with diabetes mellitus,NOS
12224581000006118,Advanced retinal disease co-occurrent and due to diabetes mellitus,NOS
12224591000006115,Advanced retinal disease with diabetes mellitus,NOS
12224751000006117,Severe nonproliferative retinopathy co-occurrent and due to diabetes mellitus,NOS
12224761000006115,Severe NPDR (nonproliferative diabetic retinopathy),NOS
12224811000006110,Macular oedema co-occurrent and due to diabetes mellitus,NOS
12224821000006119,Macular edema co-occurrent and due to diabetes mellitus,NOS
12224831000006116,Macular edema due to diabetes mellitus,NOS
12224841000006114,Macular oedema due to diabetes mallitus,NOS
12295441000006116,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus,NOS
12331051000006112,Mononeuropathy with type 2 diabetes mellitus,NOS
12331061000006114,Mononeuropathy co-occurrent and due to type 2 diabetes mellitus,NOS
12331221000006112,Exudative maculopathy with type 1 diabetes mellitus,NOS
12331231000006110,Exudative maculopathy co-occurrent and due to type 1 diabetes mellitus,NOS
12332101000006118,Cataract due to diabetes mellitus type 2,NOS
12332111000006115,Cataract co-occurrent and due to diabetes mellitus type 2,NOS
12332271000006117,Retinopathy with type 1 diabetes mellitus,NOS
12332281000006119,Retinopathy co-occurrent and due to type 1 diabetes mellitus,NOS
12332751000006115,Mononeuropathy with type 1 diabetes mellitus,NOS
12332761000006118,Mononeuropathy co-occurrent and due to type 1 diabetes mellitus,NOS
12334131000006118,Neurological disorder co-occurrent and due to type 2 diabetes mellitus,NOS
12334141000006111,Neurological disorder with diabetes type 2,NOS
12334611000006115,Neurological disorder with type 1 diabetes mellitus,NOS
12334621000006111,Neurological disorder co-occurrent and due to type 1 diabetes mellitus,NOS
12335671000006113,Exudative maculopathy with type 2 diabetes mellitus,NOS
12335681000006111,Exudative maculopathy co-occurrent and due to type 2 diabetes mellitus,NOS
12335981000006115,Peripheral vascular disorder co-occurrent and due to diabetes mellitus,NOS
12335991000006117,Peripheral vascular disorder due to diabetes mellitus,NOS
12336111000006119,Cataract due to diabetes mellitus type 1,NOS
12336121000006110,Cataract co-occurrent and due to diabetes mellitus type 1,NOS
12336531000006116,Retinopathy with type 2 diabetes mellitus,NOS
12336541000006114,Retinopathy co-occurrent and due to type 2 diabetes mellitus,NOS
12336851000006113,Nervous system disorder due to diabetes mellitus,NOS
12336861000006110,Disorder of nervous system co-occurrent and due to diabetes mellitus,NOS
12336871000006115,Disorder of eye with type 2 diabetes mellitus,NOS
12336881000006117,Disorder of eye co-occurrent and due to type 2 diabetes mellitus,NOS
12363661000006113,Gastroparesis with type 1 diabetes mellitus,NOS
12363671000006118,Gastroparesis co-occurrent and due to type 1 diabetes mellitus,NOS
12363681000006115,Gastroparesis with type 2 diabetes mellitus,NOS
12363691000006117,Gastroparesis co-occurrent and due to type 2 diabetes mellitus,NOS
12363721000006110,Polyneuropathy co-occurrent and due to type 1 diabetes mellitus,NOS
12363731000006113,Polyneuropathy co-occurrent and due to type 2 diabetes mellitus,NOS
12370271000006116,Disorder of eye with type 1 diabetes mellitus,NOS
12370281000006118,Disorder of eye co-occurrent and due to type 1 diabetes mellitus,NOS
12482051000006118,Admit diabetic emergency,NOS
12485441000006119,NIDDM with peripheral circulatory disorder,NOS
12488081000006112,Listed for Diabetology admissn,NOS
12488891000006118,Glucose tol. test diabetic,NOS
12489351000006110,Diabetic diet - poor compliance,NOS
12489361000006112,Diabetic diet - good compliance,NOS
12489851000006117,Type II diabetes mellitus with exudative maculopathy,NOS
12490171000006114,Diabetic monitoring - lower risk albumin excretion,NOS
12490181000006112,Diabetic monitoring - higher risk albumin excretion,NOS
12491551000006119,Radiculoplexoneuropathy due to diabetes mellitus,NOS
12491561000006117,Diabetic radiculoplexus neuropathy,NOS
12491571000006112,Lumbosacral plexopathy co-occurrent and due to diabetes mellitus,NOS
12491581000006110,Lumbosacral plexopathy with diabetes mellitus,NOS
12626341000006114,QOF (Quality and Outcomes Framework) diabetes mellitus quality indicator-related care invitation,NOS
12702361000006111,Diabetic cataract associated with type 1 diabetes mellitus,NOS
12702371000006116,Mononeuropathy associated with type 1 diabetes mellitus,NOS
12702381000006118,Diabetic oculopathy due to type I diabetes mellitus,NOS
12702391000006115,Diabetic cataract associated with type 2 diabetes mellitus,NOS
12702401000006118,Mononeuropathy associated with type 2 diabetes mellitus,NOS
12702411000006115,Type II diabetes mellitus with neurological complications,NOS
12702421000006111,Type II diabetes mellitus with ophthalmic complications,NOS
12703741000006118,Adverse reaction to antidiabetic drug,NOS
12703991000006112,[X]Unspecified diabetes mellitus with renal complications,NOS
12704391000006113,Neurologic disorder associated with diabetes mellitus,NOS
12704401000006110,Diabetic oculopathy,NOS
12704411000006113,Peripheral circulatory disorder associated with diabetes mellitus,NOS
12704941000006117,Neurological disorder associated with type 1 diabetes mellitus,NOS
12704951000006115,Diabetic retinopathy associated with type 1 diabetes mellitus,NOS
12704961000006118,Diabetic oculopathy associated with type 2 diabetes mellitus,NOS
12704971000006113,Neurologic disorder associated with type 2 diabetes mellitus,NOS
12704981000006111,Diabetic retinopathy associated with type 2 diabetes mellitus,NOS
12704991000006114,Ketoacidotic coma in type 2 diabetes mellitus,NOS
12705001000006119,Exudative maculopathy associated with type 1 diabetes mellitus,NOS
12705011000006116,Exudative maculopathy associated with type 2 diabetes mellitus,NOS
12705021000006112,Clinically significant macular oedema of right eye due to diabetes mellitus,NOS
12705071000006113,Gastroparesis due to type 1 diabetes mellitus,NOS
12705081000006111,Gastroparesis due to type 2 diabetes mellitus,NOS
12718861000006118,"Diabetes mellitus, adult onset, with no mention of complication",NOS
12730971000006110,Diabetes mellitus with other specified manifestation,NOS
12730981000006113,Diabetes mellitus NOS with other specified manifestation,NOS
12762301000006111,Diabetic oculopathy associated with type 2 diabetes mellitus,NOS
