medcodeid,dm_term,dm_type
84301000006116,Type 1 diabetes mellitus maturity onset,Type 1
84311000006118,Type 1 diabetes mellitus with arthropathy,Type 1
84321000006114,Type 1 diabetes mellitus with diabetic cataract,Type 1
84331000006112,Type 1 diabetes mellitus with gangrene,Type 1
84341000006119,Type 1 diabetes mellitus with hypoglycaemic coma,Type 1
84351000006117,Type 1 diabetes mellitus with mononeuropathy,Type 1
84361000006115,Type 1 diabetes mellitus with multiple complications,Type 1
84371000006110,Type 1 diabetes mellitus with nephropathy,Type 1
84381000006113,Type 1 diabetes mellitus with neurological complications,Type 1
84391000006111,Type 1 diabetes mellitus with neuropathic arthropathy,Type 1
84401000006113,Type 1 diabetes mellitus with ophthalmic complications,Type 1
84411000006111,Type 1 diabetes mellitus with peripheral angiopathy,Type 1
84421000006115,Type 1 diabetes mellitus with polyneuropathy,Type 1
84431000006117,Type 1 diabetes mellitus with renal complications,Type 1
84441000006110,Type 1 diabetes mellitus with retinopathy,Type 1
84451000006112,Type 1 diabetes mellitus with ulcer,Type 1
84461000006114,Type 1 diabetes mellitus without complication,Type 1
84471000006119,Type 2 diabetes mellitus,Type 2
84481000006116,Type 2 diabetes mellitus - poor control,Type 2
84491000006118,Type 2 diabetes mellitus with arthropathy,Type 2
84501000006114,Type 2 diabetes mellitus with diabetic cataract,Type 2
84511000006112,Type 2 diabetes mellitus with gangrene,Type 2
84521000006116,Type 2 diabetes mellitus with hypoglycaemic coma,Type 2
84531000006118,Type 2 diabetes mellitus with mononeuropathy,Type 2
84541000006111,Type 2 diabetes mellitus with multiple complications,Type 2
84551000006113,Type 2 diabetes mellitus with nephropathy,Type 2
84561000006110,Type 2 diabetes mellitus with neurological complications,Type 2
84571000006115,Type 2 diabetes mellitus with neuropathic arthropathy,Type 2
84581000006117,Type 2 diabetes mellitus with ophthalmic complications,Type 2
84591000006119,Type 2 diabetes mellitus with peripheral angiopathy,Type 2
84601000006110,Type 2 diabetes mellitus with polyneuropathy,Type 2
84611000006113,Type 2 diabetes mellitus with renal complications,Type 2
84621000006117,Type 2 diabetes mellitus with retinopathy,Type 2
84631000006119,Type 2 diabetes mellitus with ulcer,Type 2
84641000006112,Type 2 diabetes mellitus without complication,Type 2
84651000006114,Type I diabetes mellitus,Type 1
84661000006111,Type I diabetes mellitus - poor control,Type 1
84671000006116,Type I diabetes mellitus maturity onset,Type 1
84681000006118,Type I diabetes mellitus with arthropathy,Type 1
84691000006115,Type I diabetes mellitus with diabetic cataract,Type 1
84701000006115,Type I diabetes mellitus with gangrene,Type 1
84711000006117,Type I diabetes mellitus with hypoglycaemic coma,Type 1
84721000006113,Type I diabetes mellitus with mononeuropathy,Type 1
84731000006111,Type I diabetes mellitus with multiple complications,Type 1
84741000006118,Type I diabetes mellitus with nephropathy,Type 1
84751000006116,Type I diabetes mellitus with neurological complications,Type 1
84761000006119,Type I diabetes mellitus with neuropathic arthropathy,Type 1
84771000006114,Type I diabetes mellitus with ophthalmic complications,Type 1
84781000006112,Type I diabetes mellitus with peripheral angiopathy,Type 1
84791000006110,Type I diabetes mellitus with polyneuropathy,Type 1
84801000006111,Type I diabetes mellitus with renal complications,Type 1
84811000006114,Type I diabetes mellitus with retinopathy,Type 1
84821000006118,Type I diabetes mellitus with ulcer,Type 1
84831000006115,Type I diabetes mellitus without complication,Type 1
84841000006113,Type II diabetes mellitus,Type 2
84851000006110,Type II diabetes mellitus - poor control,Type 2
84861000006112,Type II diabetes mellitus with arthropathy,Type 2
84871000006117,Type II diabetes mellitus with diabetic cataract,Type 2
84881000006119,Type II diabetes mellitus with gangrene,Type 2
84891000006116,Type II diabetes mellitus with hypoglycaemic coma,Type 2
84901000006117,Type II diabetes mellitus with mononeuropathy,Type 2
84911000006119,Type II diabetes mellitus with multiple complications,Type 2
84921000006110,Type II diabetes mellitus with nephropathy,Type 2
84931000006113,Type II diabetes mellitus with neurological complications,Type 2
84941000006115,Type II diabetes mellitus with neuropathic arthropathy,Type 2
84951000006118,Type II diabetes mellitus with ophthalmic complications,Type 2
84961000006116,Type II diabetes mellitus with peripheral angiopathy,Type 2
84971000006111,Type II diabetes mellitus with polyneuropathy,Type 2
84981000006114,Type II diabetes mellitus with renal complications,Type 2
84991000006112,Type II diabetes mellitus with retinopathy,Type 2
85001000006117,Type II diabetes mellitus with ulcer,Type 2
85011000006119,Type II diabetes mellitus without complication,Type 2
127041000006110,Steroid induced diabetes,NOS
127051000006112,Steroid induced diabetes mellitus without complication,NOS
139001000000110,Exception reporting: diabetes quality indicators,NOS
139121000000119,Excepted from diabetes quality indicators: Informed dissent,NOS
147481000006113,Self monitoring of blood and urine glucose,NOS
147491000006111,Self monitoring of blood glucose,NOS
147501000006115,Self monitoring of urine glucose,NOS
169731000006118,Retinal abnormality - diabetes related,NOS
189721000000113,Secondary diabetes mellitus without complication,NOS
189831000000116,Informed consent for diabetes national audit,NOS
189841000000113,Informed dissent for diabetes national audit,NOS
198461000000116,Secondary pancreatic diabetes mellitus without complication,NOS
200111000006116,Pt advised re diabetic diet,NOS
213141000006111,"Pre-existing diabetes mellitus, unspecified",NOS
214921000006116,Polyneuropathy in diabetes,NOS
223291000000111,Maturity onset diabetes,NOS
280511000006113,Non-insulin dependent diabetes mellitus with hypoglyca coma,Type 2
280521000006117,Non-insulin dependent diabetes mellitus with mononeuropathy,Type 2
280531000006119,Non-insulin dependent diabetes mellitus with nephropathy,Type 2
280541000006112,Non-insulin dependent diabetes mellitus with polyneuropathy,Type 2
280551000006114,Non-insulin dependent diabetes mellitus with ulcer,Type 2
280561000006111,Non-insulin-dependent d m with peripheral angiopath,Type 2
280571000006116,Non-insulin dependent diabetes mellitus,Type 2
280581000006118,Non-insulin-dependent diabetes mellitus with multiple comps,Type 2
280591000006115,Non-insulin-dependent diabetes mellitus with neuro comps,Type 2
281161000006114,Non-insulin depend diabetes mellitus with diabetic cataract,Type 2
281171000006119,Non-insulin dependent diabetes mellitus - poor control,Type 2
281181000006116,Non-insulin dependent d m with neuropathic arthropathy,Type 2
281211000006117,Non-insulin dependent diabetes mellitus with gangrene,Type 2
298811000000118,Insulin therapy declined,NOS
299191000000110,Insulin needles changed daily,NOS
299211000000114,Insulin needles changed for each injection,NOS
299261000000111,Diabetic 6 month review,NOS
299601000000114,Type 1 diabetes mellitus with gastroparesis,Type 1
299621000000117,Type 2 diabetes mellitus with gastroparesis,Type 2
299991000000112,Referral to multidisciplinary diabetic clinic,NOS
300021000000110,Seen in multidisciplinary diabetic clinic,NOS
301161000000113,Insulin needles changed less than once a day,NOS
301191000000119,Did not attend diabetic retinopathy clinic,NOS
301611000000118,Diabetic monitoring - lower risk albumin excretion,NOS
301641000000117,Diabetic monitoring - higher risk albumin excretion,NOS
307661000000114,Referral to diabetic register,NOS
308071000000112,Patient consent given for addition to diabetic register,NOS
308811000000110,Referral to diabetic eye clinic,NOS
354661000006118,[X] Adverse reaction to insulins and antidiabetic agents,NOS
354671000006113,[X] Adverse reaction to insulins and antidiabetic agents NOS,NOS
377001000006117,[X]Diabetes mellitus,NOS
405561000000113,Diabetic digital retinopathy screening offered,NOS
406351000000114,Referral for diabetic retinopathy screening,NOS
468191000006114,Adverse reaction to insulins and antidiabetic agents,NOS
472901000000116,Insulin dose changed,NOS
479511000000117,Diabetes type 1 review,NOS
479571000000110,Diabetes type 2 review,NOS
479981000000119,Referral to community diabetes specialist nurse,NOS
494831000000119,Cystic fibrosis related diabetes mellitus,NOS
532331000000119,Diabetes structured education programme completed,NOS
546001000000113,Attended XPERT diabetes structured education programme,NOS
546071000000117,Attended DAFNE diabetes structured education programme,NOS
546151000000110,DAFNE diabetes structured education programme completed,NOS
546221000000114,DESMOND diabetes structured education programme completed,NOS
546291000000112,XPERT diabetes structured education programme completed,NOS
546471000000114,Diabetes structured education programme declined,NOS
546871000000112,Referral to DAFNE diabetes structured education programme,NOS
546961000000111,Referral to DESMOND diabetes structured education programme,NOS
547061000000110,Referral to XPERT diabetes structured education programme,NOS
547191000000117,Did not attend diabetes structured education programme,NOS
547331000000115,Did not complete diabetes structured education programme,NOS
547441000000118,Did not complete DAFNE diabetes structured education program,NOS
548121000000116,Did not attend DAFNE diabetes structured education programme,NOS
548131000000119,Did not attend XPERT diabetes structured education programme,NOS
587111000006111,Non-insulin-dependent diabetes mellitus with ophthalm comps,Type 2
587521000006111,Non-insulin-dependent diabetes mellitus with renal comps,Type 2
607851000006113,Date diabetic treatment stopp.,NOS
616081000006113,Diab mellit insulin-glucose infus acute myocardial infarct,NOS
616221000006117,Diabetes mellitus in pueperium - baby previously delivered,NOS
616231000006119,Diabetes mellitus in puerperium - baby delivered,NOS
616241000006112,Diabetes mellitus induced by steroids,NOS
616351000006115,Diabetes mellitus with gangrene,NOS
616381000006111,Diabetes mellitus with ketoacidotic coma,NOS
616391000006114,Diabetes mellitus with neurological manifestation,NOS
616421000006118,Diabetes mellitus with ophthalmic manifestation,NOS
616441000006113,Diabetes mellitus with peripheral circulatory disorder,NOS
616451000006110,Diabetes mellitus with polyneuropathy,NOS
616461000006112,Diabetes mellitus with renal manifestation,NOS
616481000006119,"Diabetes mellitus, adult onset, + neurological manifestation",NOS
616491000006116,"Diabetes mellitus, adult onset, + ophthalmic manifestation",NOS
616501000006112,"Diabetes mellitus, adult onset, + unspecified complication",NOS
616511000006110,"Diabetes mellitus, adult onset, no mention of complication",NOS
616531000006116,"Diabetes mellitus, adult onset, with ketoacidosis",NOS
616541000006114,"Diabetes mellitus, adult onset, with ketoacidotic coma",NOS
616551000006111,"Diabetes mellitus, adult onset, with renal manifestation",NOS
616561000006113,"Diabetes mellitus, adult with gangrene",NOS
616571000006118,"Diabetes mellitus, adult, + other specified manifestation",NOS
616581000006115,"Diabetes mellitus, adult, + peripheral circulatory disorder",NOS
616591000006117,"Diabetes mellitus, juvenile +peripheral circulatory disorder",NOS
616601000006113,"Diabetes mellitus, juvenile type, + ophthalmic manifestation",NOS
616611000006111,"Diabetes mellitus, juvenile type, + unspecified complication",NOS
616621000006115,"Diabetes mellitus, juvenile type, no mention of complication",NOS
616641000006110,"Diabetes mellitus, juvenile type, with ketoacidosis",NOS
616651000006112,"Diabetes mellitus, juvenile type, with ketoacidotic coma",NOS
616661000006114,"Diabetes mellitus, juvenile type, with renal manifestation",NOS
616671000006119,"Diabetes mellitus, juvenile, + neurological manifestation",NOS
616681000006116,"Diabetes mellitus, juvenile, + other specified manifestation",NOS
616691000006118,Diabetes monitor. check done,NOS
616701000006118,Diabetes monitor.phone invite,NOS
616711000006115,Diabetes monitor.verbal invite,NOS
616731000006114,Diabetes monitoring 1st letter,NOS
616741000006116,Diabetes monitoring 2nd letter,NOS
616751000006119,Diabetes monitoring 3rd letter,NOS
616801000006114,Diabetes resolved,NOS
616821000006116,Diabetes well being questionnaire,NOS
616831000006118,Diabetes with gangrene,NOS
616891000006119,Diabetic - moderate control,NOS
616921000006113,Diabetic amyotrophy,NOS
616971000006114,Diabetic Charcot arthropathy,NOS
617041000006117,Diabetic Foot Risk Assessment,NOS
620171000000113,Referral to diabetes special interest general practitioner,NOS
622221000000118,Maternally inherited diabetes mellitus,NOS
640011000006114,Emergency Diabetic Admission since last appointment,NOS
641581000006115,Non-insulin-dependent diabetes mellitus with retinopathy,NOS
643691000000114,Insulin initiation - enhanced services administration,NOS
646031000000112,Insulin treatment initiated,NOS
674961000006118,NIDDM with peripheral circulatory disorder,NOS
692951000000111,Diabetic foot screen,NOS
719531000006118,Malnutrition-related diabetes mellitus,NOS
719541000006111,Malnutrition-related diabetes mellitus with coma,NOS
730411000000115,Eligible for diabetic retinopathy screening,NOS
730471000000113,Ineligible for diabetic retinopathy screening,NOS
733161000000116,Impaired vision due to diabetic retinopathy,NOS
736731000000118,Excluded from diabetic retinopathy screening as moved away,NOS
736791000000117,Excluded from diabetic retinopathy screening as deceased,NOS
736911000000111,Excluded from diabetic retinopathy screening as blind,NOS
737031000000119,Declined diabetic retinopathy screening,NOS
737331000000117,Excluded from diabetic retinopathy screening,NOS
746791000006111,Insulin-dependent diabetes without complication,NOS
764191000006112,Foot abnormality - diabetes related,NOS
764201000006110,Foot abnormality - diabetes related,NOS
771331000006116,Insulin dependent diabetes mellitus with arthropathy,NOS
771341000006114,Insulin dependent diabetes mellitus with diabetic cataract,NOS
771351000006111,Insulin dependent diabetes mellitus with gangrene,NOS
771361000006113,Insulin dependent diabetes mellitus with hypoglycaemic coma,NOS
771371000006118,Insulin dependent diabetes mellitus with mononeuropathy,NOS
771381000006115,Insulin dependent diabetes mellitus with multiple complicatn,NOS
771391000006117,Insulin dependent diabetes mellitus with nephropathy,NOS
771401000006115,Insulin dependent diabetes mellitus with polyneuropathy,NOS
771411000006117,Insulin dependent diabetes mellitus with retinopathy,NOS
771421000006113,Insulin dependent diabetes mellitus with ulcer,NOS
771481000006112,Insulin-dependent diabetes mellitus with neurological comps,NOS
