medcodeid,allcancer_term
292137017,Malignant tumour of breast
292138010,[X]Malignant neoplasm of female genital organs
292139019,"[X]Malignant neoplasm of uterine adnexa, unspecified"
396531000006113,Malignant tumor of female genital organ
292142013,"[X]Malignant neoplasm of female genital organ, unspecified"
292143015,Malignant tumour of male genital organ
396541000006115,[X]Malignant neoplasm/other specified male genital organs
292146011,"[X]Malignant neoplasm of male genital organ, unspecified"
292147019,[X]Malignant neoplasm of urinary tract
292148012,Malignant neoplasm of urinary organ
396251000006115,Malignant neoplasm of central nervous system
396521000006110,Malignant tumour of cranial nerve
396491000006113,Malignant neoplasm of central nervous system
292152012,Malignant tumour of meninges
396161000006113,Overlapping malignant neoplasm of brain and other parts of the central nervous system
292154013,Malignant neoplasm of endocrine gland
292156010,Malignant neoplasm of endocrine gland
396281000006111,"[X]Malignant neoplasm of ill-defined, secondary and unspecified sites"
292158011,[X]Malignant neoplasm of other specified sites
396571000006111,Overlapping malignant neoplasm of ill-defined site
359291000006111,Secondary malignant neoplasm of lymph nodes of multiple sites
425771000006113,Secondary malignant neoplasm of respiratory tract
425781000006111,Secondary malignant neoplasm of gastrointestinal tract
359271000006110,Secondary malignant neoplasm of urinary system
359281000006113,Secondary malignant neoplasm of nervous system
292165015,[X]Secondary malignant neoplasm of other specified sites
292166019,[X]Malignant neoplasm without specification of site
396621000006114,"[X]Malignant neoplasms of lymphoid, haematopoietic and related tissue"
292169014,[X]Other Hodgkin's disease
292170010,[X]Other types of follicular non-Hodgkin's lymphoma
292173012,[X]Other types of diffuse non-Hodgkin's lymphoma
292174018,[X]Other specified types of non-Hodgkin's lymphoma
292175017,Malignant immunoproliferative disease (clinical)
292177013,[X]Other lymphoid leukaemia
292178015,[X]Other myeloid leukaemia
292181013,[X]Other monocytic leukaemia
292182018,[X]Other specified leukaemias
292185016,[X]Other leukaemia of unspecified cell type
396101000006112,Malignant tumour of lymphoid haemopoietic and related tissue
292191019,Diffuse non-Hodgkin's lymphoma
292193016,[X]Unspecified B-cell non-Hodgkin's lymphoma
406154013,Non-Hodgkin's lymphoma (clinical)
400011000006119,[X]Non-Hodgkin's lymphoma NOS
396631000006112,[X]Malignant neoplasms/independent (primary) multiple sites
396641000006119,[X]Malignant neoplasms/independent(primary)multiple sites
