medcodeid,allcancer_term
342807011,Hepatocellular carcinoma
288692018,Primary malignant neoplasm of liver NOS
155305011,Malignant neoplasm of intrahepatic bile ducts
288694017,Malignant neoplasm of interlobular bile ducts
2619456011,Malignant neoplasm of intrahepatic biliary passages
288698019,Malignant neoplasm of intrahepatic gall duct
288699010,Malignant neoplasm of intrahepatic bile ducts NOS
288700011,Malignant neoplasm of liver
151331000006114,Secondary malignant neoplasm of liver
288702015,Malignant neoplasm of liver and intrahepatic bile ducts NOS
727781000006114,Malignant neoplasm gallbladder and extrahepatic bile ducts
725711000006113,Malignant tumour of gallbladder
535221000006113,Carcinoma of gallbladder
726201000006111,Malignant tumour of extrahepatic bile duct
155207017,Malignant neoplasm of cystic duct
288707014,Malignant neoplasm of hepatic duct
726361000006119,Malignant neoplasm of common bile duct
380139012,Carcinoma common bile duct
288712010,Malignant neoplasm of extrahepatic bile ducts NOS
727911000006116,Malignant neoplasm of ampulla of Vater
1219537012,"Malignant neoplasm, overlapping lesion of biliary tract"
720451000006113,Malignant neoplasm other gallbladder/extrahepatic bile duct
727791000006112,Malignant neoplasm gallbladder/extrahepatic bile ducts NOS
723401000006118,Malignant tumour of pancreas
725121000006118,Malignant tumour of head of pancreas
288717016,Malignant neoplasm of body of pancreas
288720012,Malignant neoplasm of tail of pancreas
288723014,Malignant neoplasm of pancreatic duct
288727010,Malignant neoplasm of Islets of Langerhans
1219538019,"Malignant neoplasm, overlapping lesion of pancreas"
288731016,Malignant neoplasm of other specified sites of pancreas
288734012,Malignant neoplasm of ectopic pancreatic tissue
288735013,Malignant neoplasm of specified site of pancreas NOS
288736014,Malignant neoplasm of pancreas NOS
288739019,Malignant neoplasm of retroperitoneum and peritoneum
1228549016,Malignant neoplasm of retroperitoneum
288741018,Malignant neoplasm of perinephric tissue
288742013,Malignant neoplasm of retrocaecal tissue
288744014,Malignant neoplasm of retroperitoneum NOS
174532014,Mesothelioma of peritoneum
247091000006118,Overlapping malignant lesion of retroperitoneum and peritoneum
288747019,Malignant neoplasm of specified parts of peritoneum
288749016,Malignant neoplasm of mesocaecum
288751017,Malignant neoplasm of mesorectum
482641017,Malignant neoplasm of omentum
155446017,Malignant neoplasm of parietal peritoneum
155452016,Malignant neoplasm of pelvic peritoneum
288754013,Malignant neoplasm of the pouch of Douglas
482537012,Malignant neoplasm of mesentery
288756010,Malignant neoplasm of specified parts of peritoneum NOS
288757018,Malignant tumour of peritoneum and retroperitoneum
729561000006118,Malig neop oth/ill-defined sites digestive tract/peritoneum
288759015,Malignant tumour of intestine
841331000006115,Cancer of bowel
288760013,Malignant neoplasm of spleen NEC
288762017,Fibrosarcoma of spleen
288763010,Malignant tumour of spleen
288764016,"Malignant neoplasm, overlapping lesion of digestive system"
720461000006110,Malignant neoplasm other spec digestive tract and peritoneum
288766019,Malignant neoplasm of digestive tract and peritoneum NOS
729531000006110,Malignant neoplasm of thoracic cavity structure
380110012,Neoplasm of respiratory tract
729321000006119,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses"
1228552012,Malignant neoplasm of nasal cavities
288771014,Malignant neoplasm of cartilage of nose
288772019,Malignant neoplasm of nasal conchae
721961000006111,Malignant neoplasm of septum of nose
288775017,Malignant neoplasm of vestibule of nose
288776016,Malignant neoplasm of nasal cavities NOS
730011000006119,"Malignant neoplasm of auditory tube, middle ear and mastoid air cells"
288784017,Malignant neoplasm of tympanic cavity
288787012,Malignant neoplasm of tympanic antrum
724621000006112,Malignant neoplasm of mastoid air cells
730021000006110,"Malignant neoplasm of auditory tube, middle ear and mastoid air cells"
724641000006117,Malignant neoplasm of maxillary sinus
1228553019,Malignant neoplasm of ethmoid sinus
719021000006111,Malignant neoplasm of frontal sinus
721721000006119,Malignant neoplasm of sphenoidal sinus
288790018,"Malignant neoplasm, overlapping lesion of accessory sinuses"
729571000006113,"Malig neop other site nasal cavity, middle ear and sinuses"
288792014,Malignant tumour of nasal sinuses
724791000006119,Malignant tumour of larynx
288794010,Malignant neoplasm of glottis
288797015,Malignant neoplasm of supraglottis
721871000006110,Malignant neoplasm of subglottis
724761000006110,Malignant neoplasm of laryngeal cartilage
288799017,Malignant neoplasm of arytenoid cartilage
288800018,Malignant neoplasm of cricoid cartilage
288802014,Malignant neoplasm of thyroid cartilage
288803016,Malignant tumour of laryngeal cartilage
1219468014,"Malignant neoplasm, overlapping lesion of larynx"
451428019,Malignant neoplasm of epiglottis NOS
288806012,"Malignant neoplasm of larynx, other specified site"
288807015,Malignant neoplasm of larynx NOS
288808013,Malignant neoplasm of lower respiratory tract
721391000006116,Malignant neoplasm of trachea
288810010,Malignant neoplasm of mucosa of trachea
288811014,Malignant neoplasm of trachea NOS
155361017,Malignant neoplasm of main bronchus
288813012,Malignant neoplasm of carina of bronchus
155287019,Malignant neoplasm of hilus of lung
288815017,Malignant neoplasm of main bronchus NOS
403688010,"Malignant neoplasm of upper lobe, bronchus or lung"
414849013,Pancoast's syndrome
288819011,Malignant neoplasm of upper lobe bronchus
288820017,Malignant neoplasm of upper lobe of lung
