medcodeid,pvd_term
639851000006111,Emerg replace aneurysm pop art by pop/pop art anast c prosth
639861000006113,Emerg replace aneurysm pop art by pop/tib anast c vein graft
639871000006118,Emerg replace aneurysm pop art by pop/tib art anast c prosth
639881000006115,Emerg replace aneurysm pop artery by pop/fem art anastomosis
639911000006115,Emerg replace aneurysmal iliac artery by fem/fem art anast
639921000006111,Emerg replacement aneurysmal femoral/popl art by anastomosis
640081000006119,Emergency femoro-femoral prosthetic cross over graft
640131000006119,Emergency replacement aneurysmal femoral/popliteal art NOS
640141000006112,Emergency replacement aneurysmal femoral/popliteal artery OS
640151000006114,Emergency replacement aneurysmal superficial femoral artery
640181000006118,Emergency replacement of aneurysmal femoral/popliteal artery
641681000006116,Endarterectomy and patch repair of femoral artery
641691000006118,Endarterectomy and patch repair of iliac artery
641701000006118,Endarterectomy and patch repair of popliteal artery
6632251000006115,Peripheral angiopathy
668731000006114,Femoro-femoral prosthetic cross over graft
668741000006116,Femoro-femoral prosthetic cross over graft
674961000006118,NIDDM with peripheral circulatory disorder
7347571000006118,Bypass of iliac artery by anastomosis of iliac artery to iliac artery
742481000006118,Ischaemia of legs
771351000006111,Insulin dependent diabetes mellitus with gangrene
772141000006118,Insulin dependent diab mell with peripheral angiopathy
785611000006113,Ilio-femoral prosthetic cross over graft
787101000006114,IDDM with peripheral circulatory disorder
84331000006112,Type 1 diabetes mellitus with gangrene
84411000006111,Type 1 diabetes mellitus with peripheral angiopathy
84511000006112,Type 2 diabetes mellitus with gangrene
84591000006119,Type 2 diabetes mellitus with peripheral angiopathy
84701000006115,Type I diabetes mellitus with gangrene
84781000006112,Type I diabetes mellitus with peripheral angiopathy
84881000006119,Type II diabetes mellitus with gangrene
84961000006116,Type II diabetes mellitus with peripheral angiopathy
89891000006117,Transluminal operation on femoral or popliteal artery NOS
89901000006118,Transluminal operation on femoral or popliteal artery OS
90051000006113,Transluminal operations on femoral or popliteal artery
913621000006112,Insulin dependent diabetes mellitus with gangrene
913921000006119,Insulin dependent diab mell with peripheral angiopathy
913931000006116,Type 1 diabetes mellitus with peripheral angiopathy
913941000006114,Type I diabetes mellitus with peripheral angiopathy
931881000006115,Angioplasty of femoral artery
12704411000006113,Peripheral circulatory disorder associated with diabetes mellitus
13791000006111,Other specified diabetes mellitus with periph circ comps
14071551000006111,Ischaemic ulcer of foot due to diabetes mellitus
14083841000006119,Gangrene due to type 1 diabetes mellitus
235911000006116,Peripheral vascular disease
300514010,Other specified peripheral vascular disease NOS
300515011,Peripheral vascular disease NOS
5057951000006115,Arterial ischaemia
5057981000006111,Peripheral ischemic vascular disease
5058071000006110,Lower limb ischaemia
5058081000006113,Lower limb ischemia
5058091000006111,Ischemic leg
5058111000006119,Critical lower limb ischaemia
5058121000006110,Critical lower limb ischemia
5886711000006111,Ischaemia of feet
6021731000006115,Critical ischaemia of foot
6021741000006113,Critical ischemia of foot
6633851000006110,PVD-peripheral vascular disease
6961081000006118,Gangrene associated with type 1 diabetes mellitus
7482951000006115,History of peripheral vascular disease
881511000006113,Diabetes + periph.circulat.dis
